name, rating,restaurant_id,price,address,latitude,longitude,category
back-bay-grill,4.5,NJPjX_xStmMDm3vSiuX2aA,$$$,"['65 Portland St', 'Portland, ME 04101']",43.658122,-70.264636,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'french', 'title': 'French'}]"
blyth-&-burrows,4.5,XpJOKW-Fhi2D2Uua9Sj5SQ,$$,"['26 Exchange St', 'Portland, ME 04101']",43.65702,-70.25409,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]"
cheevitdee,5.0,7EqhGWR7dNw_xtav3DokRQ,$$,"['363 Fore St', 'Portland, ME 04101']",43.656781,-70.252728,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'bars', 'title': 'Bars'}]"
the-great-lost-bear,4.0,L76QknW3NI8KmIXvTq8XBA,$$,"['540 Forest Ave', 'Portland, ME 04101']",43.6680599,-70.2802899,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
empire-chinese-kitchen,4.5,D1eBBfWnx2w1BkKVogChng,$$,"['575 Congress St', 'Portland, ME 04101']",43.654899597168,-70.2625198364258,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'cantonese', 'title': 'Cantonese'}]"
paciarino,4.0,LuzEPoDRJEpSMrqlr_sCPQ,$$,"['470 Fore St', 'Portland, ME 04101']",43.6552735,-70.2556654,"[{'alias': 'italian', 'title': 'Italian'}]"
tomaso's-canteen,4.5,Kz7pJX-T8EXpVhT1G9Lu4Q,$$,"['18 Hampshire St', 'Portland, ME 04101']",43.6598770189872,-70.2514609694481,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
po'-boys-&-pickles,4.5,7k_zkBLB2AGcq3ueSrz1AA,$$,"['1124 Forest Ave', 'Portland, ME 04103']",43.68568,-70.29243,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}]"
the-treehouse,4.0,UxKZfzzKavvaP3h4d5-VOg,$$,"['484 Stevens Ave', 'Portland, ME 04103']",43.6749186,-70.2952933,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'lounges', 'title': 'Lounges'}]"
izakaya-minato,4.5,E3rxBAdXny4cqy21xDN_9A,$$,"['54 Washington Ave', 'Portland, ME 04101']",43.665095,-70.252187,"[{'alias': 'izakaya', 'title': 'Izakaya'}]"
local-188,4.0,YIZHbnnY8TMp7P1RPE8uaw,$$,"['685 Congress St', 'Portland, ME 04102']",43.65348,-70.26738,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
n-to-tail,4.0,msvjyjb9XQkb3dXgqcs5WA,---,"['29 Exchange St', 'Portland, ME 04101']",43.6571442348565,-70.2538747022831,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]"
luis's-arepera-and-grill,4.5,rqKPuHlp8G-QLmZUa0n-ig,$,"['948 Forest Ave', 'Portland, ME 04103']",43.68002,-70.28924,"[{'alias': 'venezuelan', 'title': 'Venezuelan'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]"
the-green-elephant,4.5,bDQwF87UDdCdL788rLLxFQ,$$,"['608 Congress St', 'Portland, ME 04101']",43.65368,-70.26344,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
taco-escobarr,4.0,ZXAgknN0Vazfjb6mifcHdA,$$,"['548 Congress St', 'Portland, ME 04101']",43.6553325,-70.2615689,"[{'alias': 'mexican', 'title': 'Mexican'}]"
marcy's-diner,4.5,Wz1vLIYnStNYr9ZrXjQVdA,$,"['47 Oak St', 'Portland, ME 04101']",43.6550091209133,-70.2612915902348,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
chaval,4.5,YsYYtyCOqdz-ytbL7rJd8A,$$$,"['58 Pine St', 'Portland, ME 04102']",43.650951488628,-70.2686837718971,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
terlingua,4.5,I1aETEsRcnnEftQvLwzzNA,$$,"['52 Washington Ave', 'Portland, ME 04101']",43.6649178,-70.2520862,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'bars', 'title': 'Bars'}]"
salvage-bbq,4.0,CyB_DXtSBWHJ1MYpSnhSwA,$$,"['919 Congress St', 'Portland, ME 04102']",43.6541489,-70.277989,"[{'alias': 'bbq', 'title': 'Barbeque'}]"
east-ender,4.0,KZ1Tkyso2j4iN98NQ6kJBQ,$$,"['47 Middle St', 'Portland, ME 04101']",43.6602592468262,-70.2504806518555,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]"
the-sinful-kitchen,4.5,SUYEk4Idwyox7ljzoTKKiw,$$,"['906 Brighton Ave', 'Portland, ME 04102']",43.673302,-70.315959,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]"
baharat,4.5,Jkr_bvXD9toMYePcnFB5Xw,$$,"['91 Anderson St', 'Portland, ME 04101']",43.66604,-70.25541,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]"
blue-rooster-food-company,4.0,wHy7MigtovvkmQoRrfUcdQ,$,"['5 Dana St', 'Portland, ME 04101']",43.6558455844539,-70.253389714259,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]"
bramhall,4.5,IFVqt80ROGRWq884m7rWCg,$$,"['769 Congress St', 'Portland, ME 04102']",43.6536736,-70.2713788,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
liquid-riot-bottling-co,4.0,R2dk5oImVATJduKsAI1PKQ,$$,"['250 Commercial St', 'Portland, ME 04101']",43.6544609069824,-70.2542877197266,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
